Country/Region,Date,Confirmed Cases,Key
US,1/22/2020,1,1
US,1/23/2020,1,2
US,1/24/2020,2,3
US,1/25/2020,2,4
US,1/26/2020,5,5
US,1/27/2020,5,6
US,1/28/2020,5,7
US,1/29/2020,5,8
US,1/30/2020,5,9
US,1/31/2020,7,10
US,2/1/2020,8,11
US,2/2/2020,8,12
US,2/3/2020,11,13
US,2/4/2020,11,14
US,2/5/2020,11,15
US,2/6/2020,11,16
US,2/7/2020,11,17
US,2/8/2020,11,18
US,2/9/2020,11,19
US,2/10/2020,11,20
US,2/11/2020,12,21
US,2/12/2020,12,22
US,2/13/2020,13,23
US,2/14/2020,13,24
US,2/15/2020,13,25
US,2/16/2020,13,26
US,2/17/2020,13,27
US,2/18/2020,13,28
US,2/19/2020,13,29
US,2/20/2020,13,30
US,2/21/2020,15,31
US,2/22/2020,15,32
US,2/23/2020,15,33
US,2/24/2020,51,34
US,2/25/2020,51,35
US,2/26/2020,57,36
US,2/27/2020,58,37
US,2/28/2020,60,38
US,2/29/2020,68,39
US,3/1/2020,74,40
US,3/2/2020,98,41
US,3/3/2020,118,42
US,3/4/2020,149,43
US,3/5/2020,217,44
US,3/6/2020,262,45
US,3/7/2020,402,46
US,3/8/2020,518,47
US,3/9/2020,583,48
US,3/10/2020,959,49
US,3/11/2020,1281,50
US,3/12/2020,1663,51
US,3/13/2020,2179,52
US,3/14/2020,2727,53
US,3/15/2020,3499,54
US,3/16/2020,4632,55
US,3/17/2020,6421,56
US,3/18/2020,7783,57
