Date,Key,Deaths
1/22/2020,1,0
1/23/2020,2,0
1/24/2020,3,0
1/25/2020,4,0
1/26/2020,5,0
1/27/2020,6,0
1/28/2020,7,0
1/29/2020,8,0
1/30/2020,9,0
1/31/2020,10,0
2/1/2020,11,0
2/2/2020,12,0
2/3/2020,13,0
2/4/2020,14,0
2/5/2020,15,0
2/6/2020,16,0
2/7/2020,17,0
2/8/2020,18,0
2/9/2020,19,0
2/10/2020,20,0
2/11/2020,21,0
2/12/2020,22,0
2/13/2020,23,0
2/14/2020,24,0
2/15/2020,25,0
2/16/2020,26,0
2/17/2020,27,0
2/18/2020,28,0
2/19/2020,29,0
2/20/2020,30,0
2/21/2020,31,0
2/22/2020,32,0
2/23/2020,33,0
2/24/2020,34,0
2/25/2020,35,0
2/26/2020,36,0
2/27/2020,37,0
2/28/2020,38,0
2/29/2020,39,1
3/1/2020,40,1
3/2/2020,41,6
3/3/2020,42,7
3/4/2020,43,11
3/5/2020,44,12
3/6/2020,45,14
3/7/2020,46,17
3/8/2020,47,21
3/9/2020,48,22
3/10/2020,49,28
3/11/2020,50,36
3/12/2020,51,40
3/13/2020,52,47
3/14/2020,53,54
3/15/2020,54,63
3/16/2020,55,85
3/17/2020,56,108
3/18/2020,57,118
